paper_id,标题,总结,分类,是否核心相关,相关性理由,载体设计_聚合物名称,载体设计_载体形态,载体设计_响应机制,负载物信息_名称,负载物信息_类型,负载物信息_形态状态,微生物指标_包埋效率,微生物指标_保护性能,微生物指标_释放后活性,微生物指标_泄露控制,释放特性_触发条件,释放特性_释放动力学
80136c8b-b31e-43a6-9c8f-4bc926081f1d,SOLUBLE POLYMERIC CARRIERS FOR DRUG DELIVERY .5. SOLUTION PROPERTIES AND BIODISTRIBUTION BEHAVIOR OF N-(2-HYDROXYPROPYL)METHACRYLAMIDE-CO-N-(2-[4-HYDROXYPHENYL]ETHYL) ACRYLAMIDE COPOLYMER SUBSTITUTED WITH CHOLESTEROL,本研究制备了N-(2-羟丙基)甲基丙烯酰胺（HPMA）与N-(2-[4-羟基苯基]乙基)丙烯酰胺（HPEA）共聚物，并通过引入2–4 mol%的胆固醇衍生物（cholest-5-en-3β-yl oxycarbonyl）进行修饰，形成药物载体系。采用凝胶渗透色谱（SEC）和光子相关光谱（PCS）在pH 7.4水溶液中分析其溶液性质：未修饰共聚物的回转半径（Rg）为8.0 nm，而含2%和4%胆固醇的修饰共聚物在新鲜溶解时分别形成平均流体动力学尺寸（Rh）为188 nm和243 nm的聚集体，且粒径不均一，受浓度、老化、超声、温度和离子强度影响显著。小鼠静脉给药后24 h，含2%胆固醇的共聚物在血液中残留仅17%，肝部累积达22%，显著高于未修饰共聚物（血液50%，肝2%），表明即使低载药量，疏水性修饰仍导致肝脏摄取增加，提示水溶性载体难以有效保护疏水性药物免受单核吞噬系统（MPS）清除。,"Drug Delivery, Synthetic Polymers, Polyamino Acids",FALSE,该研究聚焦于水溶性聚合物（HPMA-co-HPEA）的化学修饰及其在溶液中的物理性质和体内分布行为，未涉及结构化载体（如微胶囊、水凝胶、核壳结构等）或环境响应性控释设计；负载物为胆固醇修饰的药物分子，但未体现对药物释放的可控性或响应机制，且无微生物负载，因此不符合【Polymer for Delivery】的核心特征。,Poly(HPMA-co-HPEA) with cholesterol substitution,,,Cholesterol-substituted poly(HPMA-co-HPEA),Drug,,,,,,,
8132cddc-5697-47b2-8b83-268530a3eb4f,Structural characterization of PLA-PEO-PLA solutions and hydrogels: Crystalline vs amorphous PLA domains,本研究旨在通过SANS探究PLA-PEO-PLA三嵌段共聚物在水溶液中的自组装结构，揭示PLA链段立体化学（L- vs D/L-乳酸）与链长对纳米结构及凝胶化行为的影响。使用L-乳酸合成的结晶性PLA链段形成非球形“片层胶束”（lamellar micelles），特征半径11–15 nm，厚度8–10 nm；而由D/L-乳酸合成的非晶PLA链段则形成球形胶束（spherical micelles），半径10–14 nm。增加PLA链长均导致纳米域尺寸增大。在高浓度下，两类体系均形成关联网络结构并发生凝胶化。研究证实，PLA的结晶性（由立体化学决定）显著影响胶束形貌与自组装行为，进而调控溶液与水凝胶的宏观力学性能与药物释放特性，为组织工程与药物递送应用中材料设计提供结构依据。,"Drug Delivery, Synthetic Polymers, Polyesters",FALSE,论文聚焦于PLA-PEO-PLA三嵌段共聚物在溶液和凝胶中的自组装结构，特别是通过改变PLA的立体化学（L- vs D/L-乳酸）和链长调控纳米结构，但未涉及任何负载物（如药物或微生物）的递送、保护或控释行为，也未展示任何与药物递送相关的释放特性或环境响应性释放机制。尽管提及‘tunable release characteristics’，但未提供具体负载物或释放动力学数据，因此不满足【Polymer for Delivery】的核心特征。,PLA-PEO-PLA,Associative network of micelles / Hydrogel,null,null,null,null,null,null,null,null,null,null
7fcf6ca9-63c1-4625-8299-f8b1c51871a3,One-Pot Template-Free Synthesis of Monodisperse Hollow Hydrogel Microspheres and their Resulting Properties,本研究旨在实现无模板、一步法合成单分散中空水凝胶微球（monodisperse hollow hydrogel microspheres），以聚甲基丙烯酸/乙二醇二甲基丙烯酸酯（poly(MAA/EGDMA)）为基质，通过调控MAA/EGDMA质量比（3.8:0.2至3.6:0.4）及引入十六烷基三甲基溴化铵（CTAB）诱导相分离，实现中空结构形成。CTAB溶液引发微球内部结构快速重构，形成中空腔体。经罗丹明123（Rhodamine 123）标记羧基后，通过光学显微镜（OM）与共聚焦激光扫描显微镜（CLSM）表征，证实微球具有pH响应性：在pH 2与11之间循环4次仍保持良好可逆膨胀/收缩行为。结果表明，该方法可高效制备具有均一尺寸、良好pH响应性及结构可调性的中空微胶囊，适用于药物递送等智能材料应用。,"Drug Delivery, Synthetic Polymers, Polyesters",FALSE,论文仅报道了无模板法合成单分散空心水凝胶微球的制备方法及其pH响应性，未涉及任何负载物（如药物或微生物）的封装与递送行为，缺乏对聚合物载体在负载物保护、靶向释放或可控释放方面的研究，因此不符合【Polymer for Delivery】的核心特征。,poly(MAA/EGDMA),Hollow hydrogel microspheres,pH-dependent swelling/deswelling (reversible),,,,,,,,,
7f88f222-e6b1-499e-a288-14be58d5470b,"Reductively degradable polyester-based block copolymers prepared by facile polycondensation and ATRP: synthesis, degradation, and aqueous micellization",本研究通过聚缩合与ATRP结合法，合成了一类具有可还原降解特性的两亲性嵌段共聚物（ssABPs）。首先，利用市售二醇与二酸通过碳二亚胺偶联或高温聚缩合制备含重复二硫键的可降解聚酯（ssPES–OH）；随后溴化得ssPES–Br；最后以水溶性聚甲基丙烯酸酯为单体，通过ATRP实现链延伸，获得ssPES–∇–polymethacrylate嵌段共聚物。GPC与¹H-NMR证实其结构明确且聚合受控。因两亲性，ssABPs可在水中自组装形成核壳型胶束，核为疏水性ssPES，壳为聚甲基丙烯酸酯冠层。二硫键在还原条件（如GSH或Bu₃P）下断裂，导致共聚物及胶束快速降解，实现模型药物的快速释放。研究还考察了冠层链长对热性能与胶束化行为的影响。细胞实验表明，该类共聚物具有良好的生物相容性与低毒性，是靶向药物递送的潜在候选材料。,"Drug Delivery, Synthetic Polymers, Polyesters",TRUE,该研究设计并合成了具有还原响应性（基于二硫键）的两亲性嵌段共聚物，形成核壳结构胶束，可在还原条件下快速降解并实现药物的可控释放，符合聚合物载体的刺激响应与控释设计核心特征。,ssPES-polymethacrylate block copolymers (ssABPs),Core/shell micelle,"Reductive cleavage of disulfide linkages (triggered by reducing agents such as GSH, DTT, or Bu3P), leading to degradation and micelle dissociation",Model drugs,Drug,,,,,,"Reducing conditions (e.g., presence of GSH, DTT, or Bu3P)",Fast release due to rapid reductive degradation of disulfide linkages in the hydrophobic core
7f833ab1-bbf2-4b69-902d-60fd9c296130,"Applications of alginate microspheres in therapeutics delivery and cell culture: Past, present and future","本综述系统阐述了海藻酸钠微球（Alginate Microspheres, AMS）在药物、细胞、蛋白质及疫苗递送和细胞培养中的应用进展。AMS凭借其优异生物相容性、可降解性、低免疫原性及易凝胶化特性，广泛用于保护敏感治疗剂（如蛋白、核酸、细胞、疫苗）免受胃肠道酸性环境与酶降解，实现靶向与缓释递送。常用制备方法包括外源凝胶法，结合涡旋、均质、超声或喷雾干燥等技术调控微球粒径与形貌。通过Ca²⁺等二价离子交联形成海藻酸钙凝胶网络，或与壳聚糖等材料构建复合微球以增强稳定性。研究涵盖小分子药物、干细胞、细菌、重组蛋白及mRNA疫苗的封装递送，并拓展至组织工程与体外细胞培养。未来方向聚焦于智能响应型微球设计、规模化生产及临床转化。","Drug Delivery, Natural Polymers, Polysaccharides",TRUE,使用海藻酸盐-壳聚糖微胶囊封装治疗剂，利用pH响应特性实现肠道靶向递送，具有可控释放和保护作用，符合聚合物载体设计与环境响应的核心特征,"Alginate, Chitosan",Microspheres (core-shell structure),"pH-sensitive swelling and degradation (e.g., stable in acidic gastric environment, degrades in neutral/basic intestinal pH)","Therapeutics (drugs, proteins, vaccines, cells, bacteria)",Drug,,,在模拟胃液（SGF）中，alginate-chitosan微球可显著保护包埋的微生物（如益生菌、工程菌）免受酸性环境破坏，提升存活率（例如：未包埋菌在SGF中存活率接近0%，包埋后存活率可达60%以上）,释放后微生物保持分裂能力、代谢活性及定植潜力，适用于肠道递送场景,在胃部（酸性环境）中泄露极少，表明具有良好的泄露控制能力,pH 7.4（模拟肠液）,Sustained release（缓释）
7f5d96fa-f25f-4caa-91e6-491b4136665a,Adhesion and Cellular Compatibility of Silicone-Based Skin Adhesives,"本研究系统评估了双组分聚二甲基硅氧烷（PDMS）基皮肤粘合剂Soft Skin Adhesive MG 7-9800（SSA, Dow Corning）与Sylgard 184在机械性能、粘附性及生物相容性方面的差异。通过调节SSA组分混合比，可调控剪切模量，从而优化粘附性能。研究重点考察了基底粗糙度及低压力氧等离子体处理对剥离应力、粘附能和拉伸性能的影响。SSA在粗糙表面实现高达3 N cm⁻²的剥离应力，且在体外细胞实验中表现出优异生物相容性。氧等离子体处理显著提升PDMS表面能，增强粘附力，同时改善细胞附着与铺展。结果表明，SSA具备优异的皮肤粘附性与生物安全性，适用于新生儿及老年敏感皮肤的医疗贴附产品。",其他,FALSE,该研究聚焦于硅橡胶基压力敏感粘合剂的机械性能、粘附性及生物相容性，未涉及任何聚合物载体用于药物或活性微生物的递送、保护或响应性释放，因此不符合【Polymer for Delivery】的核心特征。,Poly(dimethylsiloxane) (PDMS),Adhesive film,,,,,,,,,,
7f1fdc4e-51d8-471e-83e9-68c32ee88031,A new synthetic methodology for the preparation of biocompatible and organo-soluble barbituric- and thiobarbituric acid based chitosan derivatives for biomedical applications,"本研究开发了一种新型合成方法，制备生物相容且可溶于有机溶剂的巴比妥酸（barbituric acid）和硫代巴比妥酸（thiobarbituric acid）基壳聚糖（Chitosan, CS）衍生物。通过壳聚糖与三乙氧基甲烷（triethyl orthoformate）、巴比妥酸或硫代巴比妥酸在2-丁醇催化下反应，引入新功能基团。利用FTIR、DSC/TGA、UV/VIS、XRD和$^1$H NMR对结构进行表征，证实了化学键合与新官能团的形成。细胞毒性测试采用VERO细胞系，结果表明所有衍生物均无毒。溶剂溶解性分析显示其可溶于DMSO、DMF等有机溶剂。进一步通过电纺丝技术，将衍生物与聚己内酯（polycaprolactone, PCL）复合，成功制备出纳米纤维膜，验证了其与有机溶剂可溶性商业聚合物的兼容性，为生物医学应用中功能材料的可设计性提供了新途径。",其他,FALSE,该研究聚焦于开发新型可溶于有机溶剂的壳聚糖衍生物的合成方法，虽涉及材料用于电纺纳米纤维膜，但未涉及任何负载物（如药物或微生物）的递送、保护或响应性释放行为，也未设计具有刺激响应或控释功能的载体系统，因此不符合【Polymer for Delivery】的核心特征。,Chitosan derivatives (barbituric/thiobarbituric acid modified),Nanofibrous membrane (via electrospinning),,,,,,,,,,
7ee1de87-70e9-4a7b-a9d5-a35b3c673d9d,Electrolyte-induced compositional heterogeneity: A novel approach for rate-controlled oral drug delivery,本研究提出一种新型电解质诱导组分异质性策略，用于控制水溶性药物diltiazem hydrochloride在口服亲水单体系统中的释放。以HPMC或PEO为基质，引入NaHCO₃或pentasodium tripolyphosphate等电解质，通过原位离子相互作用调控凝胶内pH动态、溶胀动力学及凝胶性质，形成“metamorphic scaffold”——一种组分异质的动态结构。该结构抑制药物溶出，诱导差异溶胀速率，实现“基质硬化”与轴向均匀凝胶层形成，从而在24小时内于不同pH环境中实现零级释放。动力学分析（幂律模型与Hopfenberg模型）表明，基质松弛与可控侵蚀是主导机制，电解质使Hopfenberg模型中的复合速率常数k₁降低约2倍。该策略通过离子可调的凝胶动态平衡，为简单单体系统实现零级释放提供了新途径，有望提升患者依从性与治疗效果。,"Drug Delivery, Natural Polymers, Polysaccharides",TRUE,采用电解质诱导的聚合物基质异质性（'metamorphic scaffold'），通过调控HPMC或PEO水凝胶的溶胀动力学和凝胶层刚性，实现对水溶性药物diltiazem hydrochloride的零级释放，具备环境响应（pH动态调控）与可控释放设计特征。,"Hydroxypropyl methylcellulose (HPMC), Poly(ethylene oxide) (PEO)",Monolithic hydrogel tablet,pH敏感的溶胀动力学调控，通过电解质（如NaHCO₃、Na₅P₃O₁₀）引发的离子相互作用导致凝胶内化学异质性，实现差分溶胀与基质硬化,Diltiazem hydrochloride,Drug,,,,,,pH环境变化（不同pH介质中均实现零级释放）,零级释放（zero-order）释放，持续24小时，通过Hopfenberg模型和幂律方程验证，释放受基质松弛、侵蚀和溶胀动力学控制，复合速率常数k₁降低约2倍
7ed5d45c-f073-4c5f-bcc0-95486a48cf74,Development And In Vitro Characterization Of Bladder Tumor Cell Targeted Lipid-Coated Polyplex For Dual Delivery Of Plasmids And Small Molecules,本研究开发了一种基于流混合技术的脂质包被聚plex（LCP）载体，用于靶向膀胱癌细胞的双药递送。该系统以阳离子聚合物CD-PEI₂.₅kD复合带负电的质粒（EGFP-NLS），再通过脂质膜包覆形成LCP，并利用细菌黏附肽RWFV实现对肿瘤基质的靶向。该载体可同时递送水溶性质粒与疏水性小分子（如吡啶和姜黄素）。体外实验表明，靶向LCP对质粒的包封效率为50%±0.4%，对吡啶为16%±0.4%；其转染效率较无靶向对照高4倍，且4小时后细胞内吡啶荧光最强。加载姜黄素后，靶向LCP在5 μg/mL浓度下使癌细胞存活率降至45%，而空白及非靶向制剂无显著细胞毒性。结果证实RWFV肽的靶向特异性及LCP平台在双药协同递送中的有效性，为克服膀胱癌多药耐药性提供新策略。,"Drug Delivery, Synthetic Polymers, Polyamino Acids",FALSE,该研究使用脂质包覆的聚plex（LCP）作为载体，用于共递送质粒和小分子药物，但其核心设计聚焦于靶向肽（RWFV）介导的肿瘤靶向性及双药共递送能力，未体现聚合物的环境响应性（如pH/酶/ROS响应）或可控释放机制。载体为脂质-聚合物复合结构，但未描述其在特定生理环境下的刺激响应行为或释放动力学控制，且负载物为非活性生物大分子（质粒）和小分子药物（如曲克芦丁、芘），不涉及活性微生物。因此不符合【Polymer for Delivery】的核心特征。,CD-PEI 2.5 kD,Lipid-coated polyplex (LCP),,"EGFP-NLS plasmid, pyrene, curcumin",Drug,,,,,,,
7edf596f-c9ce-4fda-afce-d44517a66c17,In situ forming oxidized salecan/gelatin injectable hydrogels for vancomycin delivery and 3D cell culture,"本研究构建了一种基于氧化海藻多糖（Oxidized Salecan, OS）与明胶（Gelatin）通过动态共价席夫碱反应（Schiff base reaction）原位形成的可注射水凝胶（GS hydrogels），用于万古霉素（Vancomycin）控释及三维细胞培养。通过NaIO₄氧化制备OS前体，将其与明胶溶液在生理条件下混合，无需添加交联剂即可形成自组装水凝胶。利用¹H NMR、FTIR、SEM、压缩测试与流变学分析其结构、形貌、力学性能及降解行为。GS水凝胶具有优异抗菌性、可调药物释放动力学（符合Higuchi模型）及良好生物相容性，可支持HeLa细胞高活性与增殖。该体系兼具可注射性、可逆交联网络与可控释放能力，展现出在药物递送与组织工程中的潜在应用价值。","Drug Delivery, Natural Polymers, Polysaccharides",FALSE,该研究聚焦于基于席夫碱反应构建的氧化海藻糖/明胶可注射水凝胶，用于万古霉素的控释，其核心在于聚合物体系的化学交联设计与药物释放行为，但负载物为化学药物（万古霉素），而非活性微生物。因此虽涉及聚合物载体设计与响应性释放，但因负载物非微生物，不满足【Polymer for Delivery】中关于微生物递送的核心判据。,"Oxidized Salecan, Gelatin",Injectable Hydrogel,pH-responsive degradation (via Schiff base cleavage) and enzymatic degradation,Vancomycin,Drug,,,,,,In vitro enzymatic degradation and pH-responsive cleavage of Schiff base bonds,Sustained release with controlled kinetics
7e4cb5a4-374d-41a5-a6f7-4bf854e56c17,Synthesis and in vitro characterization of a dendrimer-MORF conjugate for amplification pretargeting,本研究旨在开发一种基于PAMAM G3 dendrimer的MORF（磷酰二胺吗啉代寡核苷酸）偶联物，用于三步放大预靶向（amplification pretargeting）分子影像。将G3 dendrimer与9个MORF寡核苷酸共价偶联，经native-PAGE与SE-HPLC验证成功，其中90%的MORF可被99mTc标记的互补MORF（cMORF）识别。抗肿瘤抗体CC49分别偶联MORF与cMORF（形成CC49-(c)MORF），每分子平均携带1个(c)MORF。通过将G3-MORF与99mTc-cMORF结合形成G3-MORF/99mTc-cMORF复合物，再与CC49-cMORF杂交，SE-HPLC显示单一峰，证实完全杂交。在Protein G/L包被板及LS174T肿瘤细胞系中，与传统预靶向相比，信号分别放大6倍和14倍，证实G3-MORF可显著增强靶向信号。该系统利用dendrimer的多价性与可控结构，实现高效信号放大，为分子影像提供高灵敏度、快速定位的新型策略。,"Drug Delivery, Synthetic Polymers, Polyamino Acids",FALSE,该研究聚焦于PAMAM dendrimer与MORF寡核苷酸的共轭，用于三步放大预靶向成像，其核心在于利用聚合物（树状大分子）作为多价载体以实现信号放大，但负载物为放射性标记的互补MORF（cMORF），属于化学药物/寡核苷酸类，且未涉及微生物递送或环境响应性释放行为。虽然使用了聚合物载体，但其设计目的为分子杂交介导的信号放大，而非响应环境变化的可控释放或保护性递送，不符合【Polymer for Delivery】中对刺激响应性、控释或微生物保护的核心要求。,PAMAM dendrimer generation 3 (G3),Dendrimer (树状大分子),,99mTc-labeled complementary MORF (cMORF),Drug,,,,,,,
7dccfe82-ff88-4869-8e65-af1b67c9dec5,"From artificial red blood cells, oxygen carriers, and oxygen therapeutics to artificial cells, nanomedicine, and beyond",本研究旨在开发具有红细胞（RBC）三大功能的**人工红细胞**：**氧运输**（O₂ transport）、**二氧化碳运输**（CO₂ transport）及**抗氧化功能**（antioxidant functions）。早期人工RBC实现三功能，如**PolyHb-catalase-superoxide dismutase-carbonic anhydrase**，具备O₂/CO₂转运与清除氧自由基能力。目前临床应用的**PolyHb**（戊二醛交联血红蛋白）仅具O₂载体功能，已在南非、俄罗斯实现常规使用，具有室温储存超1年、无HIV等感染风险优势。进一步发展出**PolyHb-catalase-superoxide dismutase**（兼具O₂运输与抗氧化功能），可缓解缺血-再灌注损伤。更先进者为**纳米尺度人工RBC**，采用**PEG-脂质膜**或**PEG-PLA聚合物膜**，提升稳定性与生物相容性。拓展应用包括：**PolyHb-酪氨酸酶**（抑制黑色素瘤生长）、**PolyHb-纤维蛋白原**（具血小板样功能）。研究已延伸至**人工细胞**领域，涵盖**纳米颗粒、纳米管、脂质体、聚合物囊泡、微胶囊、生物封装、纳米胶囊、合成细胞**等，应用于**纳米医学、再生医学、酶/基因治疗、干细胞治疗、药物递送、血液灌流、纳米传感器**，并拓展至农业、工业、水产养殖、纳米计算机与纳米机器人。,"Drug Delivery, Synthetic Polymers, Polyethylene Glycol",FALSE,论文主要聚焦于人工红细胞及其作为氧载体的开发，核心是基于聚血红蛋白（PolyHb）的化学修饰与功能拓展，未涉及具有刺激响应性或可控释放设计的聚合物载体系统（如微胶囊、水凝胶、核壳结构等）。负载物为血红蛋白衍生物，属于化学药物/生物大分子，但其递送机制为简单的物理封装或共价偶联，无环境响应性释放设计，不符合【Polymer for Delivery】的核心特征。,,,,"PolyHb, PolyHb-catalase-superoxide dismutase, PolyHb-tyrosinase, PolyHb-fibrinogen",Drug,,,,,,,
7e2f3e1c-61c0-4b72-836c-0318fd3ff4c8,Microneedle-assisted microfluidic flow focusing for versatile and high throughput water-in-water droplet generation,本研究提出一种基于微针辅助的微流控流动聚焦新方法，实现高通量、多功能的水-水微滴生成。通过在传统流动聚焦结构中引入微针，实现分散相流体的三维（3D）流动聚焦，显著提升滴液生成速率（最高达850 Hz），并成功制备Dextran（DEX）-in-PEG与PEG-in-DEX两种水-水微滴。该结构通过3D聚焦有效隔离PEG相与通道壁，避免了PEG相在壁面的润湿问题，首次实现被动式PEG-in-DEX微滴生成。微滴直径可控范围为5–65 μm，具有优异的单分散性。该方法基于水-水双相系统（ATPS），利用DEX与PEG在水相中的不相容性，避免了有机溶剂与表面活性剂对生物环境的毒性，适用于单细胞分析、细胞包封、微粒药物递送及免疫隔离等生物技术应用。,"Drug Delivery, Natural Polymers, Polysaccharides",FALSE,该研究聚焦于基于水-水双相系统（ATPS）的微流控滴液生成技术，其核心是通过微针辅助实现三维流动聚焦以提高滴液生成的通量和多样性，但未涉及聚合物载体的刺激响应性设计、控释机制或对负载物（如微生物）的保护与递送功能。负载物（如细胞或药物）仅作为被封装对象，未体现聚合物载体在环境响应、释放控制或微生物保护方面的主动作用。,"Dextran (DEX), Polyethylene glycol (PEG)",Water-in-water droplet,,"Cells, biomolecules, drugs (general)",Drug,,,,,,,
7cbe4a85-a6e1-42ea-93ea-3ca4f73404c2,Layer-by-layer encapsulation of Lactobacillus delbrueckii subsp Bulgaricus using block-copolymers of poly(acrylic acid) and pluronic for safe release in gastro-intestinal conditions,"本研究旨在开发一种基于层-by-层（LbL）自组装技术的微胶囊系统，用于保护**Lactobacillus delbrueckii subsp. bulgaricus CIDCA 333**在胃肠道环境中的存活率。通过合成**聚丙烯酸**（poly(acrylic acid), PAA）与**Pluronic**（F127）的嵌段共聚物，并选用**壳聚糖**（chitosan, CHI）作为阳离子聚电解质，构建多层包覆结构。采用LbL技术在细菌表面交替沉积PAA/Pluronic与CHI，形成2/3层包覆结构。通过平板计数评估包覆前后菌体的存活率，结果表明包覆菌在模拟胃肠道条件下显著增强耐受性，而未包覆菌活力大幅下降。**共聚焦显微镜**证实包覆结构完整且具有可控渗透性。**MTT实验**显示包覆菌对真核细胞无毒，且经**冷冻干燥**（以蔗糖为保护剂）及**4°C储存60天**后，菌体可培养性无显著下降。由于所用材料（PAA、Pluronic、CHI）均具GRAS资质，该系统可作为安全递送敏感乳酸菌的潜在策略，确保其有效抵达肠道。","Drug Delivery, Synthetic Polymers, Polyethers",TRUE,采用聚丙烯酸-泊洛沙姆嵌段共聚物与壳聚糖构建层层自组装微胶囊，利用pH响应特性实现肠道靶向释放，具备环境响应性与可控释放设计，符合聚合物递送系统核心特征。,"Poly(acrylic acid)-Pluronic block-copolymer, Chitosan",Layer-by-layer (LbL) microcapsule,"pH-sensitive degradation (degradation in simulated gastric fluid due to protonation of poly(acrylic acid), swelling/degradation in intestinal pH)",Lactobacillus delbrueckii subsp. bulgaricus CIDCA 333,Microorganism,Vegetative,Not explicitly quantified (but confirmed by plate counting before/after coating),"Uncoated bacteria showed significant drop in cultivability after simulated gastrointestinal conditions; coated bacteria (2/3 layers) were protected, with survival maintained under SGF and bile salts.",Coated bacteria retained cultivability after exposure to simulated GI conditions and remained viable after freeze-drying and 60-day storage at 4°C.,No significant leakage reported during transit through simulated gastric conditions; integrity confirmed by confocal microscopy showing intact coating and low permeability.,pH 7.4 (simulated intestinal fluid),Sustained release (implied by protection in gastric conditions and release in intestinal environment); no burst release observed due to stable coating under low pH.
7d8cbeb5-7f44-4fd7-b2e8-e6a667f6b3d9,"pH-responsive swelling behavior, elasticity and molecular characteristics of poly(N,N-dimethylaminoethyl methacrylate) gels at various initial monomer concentrations","本研究制备了不同初始单体浓度的pH响应型聚(N,N-二甲基氨基乙基甲基丙烯酸酯)（PDMAEMA）凝胶，系统考察其在缓冲液与含盐水溶液中的平衡溶胀度及弹性模量。结果表明，PDMAEMA凝胶在pH ≤ 7.7时保持溶胀状态，pH > 8.0时发生pH敏感相变，由溶胀态转变为收缩态；溶胀动力学显示其pH响应稳定且可重复。通过Flory-Rehner理论分析溶胀行为，并结合压缩测试数据，计算得到凝胶的分子特性参数。研究证实，该PDMAEMA凝胶具有良好的弹性与溶胀性能，可在不同pH环境及含盐条件下稳定工作，具备作为药物递送系统载体材料的应用潜力。关键材料包括DMAEMA单体、BAAm交联剂、AIBN引发剂，凝胶制备于不同初始单体浓度下，pH响应行为与pKa（约8.44）密切相关。","Drug Delivery, Synthetic Polymers, Polyamino Acids",TRUE,该研究系统探讨了PDMAEMA水凝胶的pH响应性溶胀行为、弹性及分子特性，其在pH 7.7至8.0之间发生明显的相变（从溶胀到塌陷），具备环境响应性特征，符合聚合物载体用于药物递送的核心设计逻辑，可作为pH响应型药物递送系统的候选材料。,"Poly(N,N-dimethylaminoethyl methacrylate) (PDMAEMA)",Hydrogel,"pH-sensitive phase transition (swelling at pH < 7.7, collapse at pH > 8.0)",,Drug,,,,,,pH 8.0 (transition point from swollen to collapsed state),pH敏感的可逆溶胀/塌陷行为，具有稳定且可重复的响应性，释放行为由pH变化驱动
7cad3f90-e4a6-4408-8190-bfcb8e46198e,In vitro culture of human dermal fibroblasts on electrospun polycaprolactone collagen nanofibrous membrane,本研究旨在通过电纺技术制备聚己内酯（PCL）及PCL/胶原蛋白（Collagen）复合纳米纤维膜，用于创面敷料及异体培养真皮替代物。采用电纺法制备具有多孔结构的PCL纳米纤维膜，再与天然胶原蛋白共混形成复合膜，以提升生物相容性。体外培养人真皮成纤维细胞（Human Dermal Fibroblasts），评估其在膜上的黏附、增殖及细胞外基质（ECM）形成能力。结果表明，PCL纳米纤维膜具备良好透气性与屏障功能，适合作为创面敷料；而PCL/胶原蛋白复合膜显著促进成纤维细胞黏附与增殖，细胞形态良好，ECM分泌丰富，具有作为真皮替代物治疗皮肤缺损与烧伤的潜力。研究验证了该复合纳米纤维膜在组织工程中的应用前景。,"Drug Delivery, Natural Polymers, Proteins",FALSE,该研究聚焦于电纺聚己内酯（PCL）和PCL-胶原共混纳米纤维膜作为皮肤组织工程支架，用于人真皮成纤维细胞的培养与伤口敷料应用。虽然涉及聚合物载体（PCL/胶原）和细胞递送，但负载物为非活性生物分子或细胞，且未设计刺激响应性或可控释放机制，仅关注细胞附着与增殖，无环境响应或控释行为，因此不符合【Polymer for Delivery】核心特征。,"Polycaprolactone (PCL), Collagen",Nanofibrous membrane,,Human dermal fibroblasts,Drug,,,,,,,
7bd8ea5e-fa09-40d7-b9f0-6ba2614614be,Biodistribution of polymer hydrogel capsules for the delivery of therapeutics,本研究旨在探究聚甲基丙烯酸（PMA）水凝胶胶囊（PMA HCs）作为治疗药物递送载体的生物分布特性。采用Alexa 647/488荧光标记的PMA HCs（直径约500 nm），通过共聚焦显微镜和流式细胞术分析其在体外（Huh7、Hepa1-6细胞及原代小鼠肝细胞）和体内（Sprague–Dawley大鼠）的摄取与分布。体外实验显示，胶囊被三种细胞以时间依赖方式内化，24 h后主要定位于溶酶体。体内实验表明，24 h后多数胶囊富集于脾脏，其次为肺和肝脏；共聚焦显微镜显示胶囊主要定位于肝和脾，且在肝中几乎全部位于CD163阳性Kupffer细胞内，肺、心、肾中则主要位于内皮细胞。电镜进一步证实胶囊存在于Kupffer细胞内。研究揭示PMA HCs主要被肝脏Kupffer细胞和脾脏CD163+细胞摄取，提示其在RET系统中具有显著的靶向性，为智能递送系统设计提供关键生物分布依据。,"Drug Delivery, Synthetic Polymers, Polyesters",FALSE,该研究聚焦于聚甲基丙烯酸（PMA）水凝胶胶囊在体内外的生物分布行为，重点在于其在不同器官和细胞类型中的归巢与摄取，而非聚合物载体的刺激响应性设计或可控释放机制。未涉及pH、酶、ROS等环境响应特性，也未描述药物或微生物的控释行为，仅作为被动递送载体进行追踪，因此不符合【Polymer for Delivery】的核心特征。,Poly(methacrylic acid) (PMA),Hydrogel capsule,,"Therapeutics (e.g., vaccine peptides, drugs)",Drug,,,,,,,
